1500000US370630010022,370630010022,"Block Group 2, Census Tract 10.02, Durham County, North Carolina",1059,473,190,217,765,406,0,12,0,12,0,12,104,173,0,12,0,12,0,12
1500000US370630010023,370630010023,"Block Group 3, Census Tract 10.02, Durham County, North Carolina",802,434,191,201,513,370,0,12,0,12,0,12,80,128,18,32,18,32,0,12
1500000US370630010024,370630010024,"Block Group 4, Census Tract 10.02, Durham County, North Carolina",1421,696,760,532,507,323,26,58,0,12,0,12,100,161,28,46,0,12,28,46
1500000US370630011001,370630011001,"Block Group 1, Census Tract 11, Durham County, North Carolina",2087,391,609,263,1280,308,6,10,0,12,0,12,183,181,9,14,0,12,9,14
1500000US370630011002,370630011002,"Block Group 2, Census Tract 11, Durham County, North Carolina",1248,296,156,99,953,253,0,12,0,12,0,12,136,129,3,8,0,12,3,8
1500000US370630013011,370630013011,"Block Group 1, Census Tract 13.01, Durham County, North Carolina",1292,228,250,209,984,205,0,12,5,8,0,12,13,21,40,38,0,12,40,38
1500000US370630013031,370630013031,"Block Group 1, Census Tract 13.03, Durham County, North Carolina",2991,445,374,267,2361,423,5,13,101,56,0,12,46,40,104,53,6,13,98,53
1500000US370630013032,370630013032,"Block Group 2, Census Tract 13.03, Durham County, North Carolina",474,152,23,22,448,152,0,12,0,12,0,12,0,12,3,6,0,12,3,6
1500000US370630013041,370630013041,"Block Group 1, Census Tract 13.04, Durham County, North Carolina",2798,347,188,113,2412,287,0,12,12,20,0,12,111,95,75,77,42,66,33,37
1500000US370630014001,370630014001,"Block Group 1, Census Tract 14, Durham County, North Carolina",733,235,19,27,590,206,0,12,0,12,0,12,94,134,30,47,0,12,30,47
1500000US370630014002,370630014002,"Block Group 2, Census Tract 14, Durham County, North Carolina",1727,264,2,3,1477,291,0,12,0,12,0,12,70,116,178,214,0,12,178,214
1500000US370630015011,370630015011,"Block Group 1, Census Tract 15.01, Durham County, North Carolina",2836,345,1440,265,614,128,0,12,623,157,0,12,60,43,99,53,18,22,81,46
1500000US370630015021,370630015021,"Block Group 1, Census Tract 15.02, Durham County, North Carolina",2996,585,1431,473,1193,365,0,12,187,111,0,12,115,186,70,72,30,48,40,53
1500000US370630015022,370630015022,"Block Group 2, Census Tract 15.02, Durham County, North Carolina",1011,257,646,236,0,12,0,12,329,166,0,12,0,12,36,57,0,12,36,57
1500000US370630015023,370630015023,"Block Group 3, Census Tract 15.02, Durham County, North Carolina",1927,314,391,137,633,217,0,12,746,192,27,45,23,27,107,98,0,12,107,98
1500000US370630015024,370630015024,"Block Group 4, Census Tract 15.02, Durham County, North Carolina",507,290,19,32,373,223,0,12,0,12,0,12,115,173,0,12,0,12,0,12
1500000US370630015031,370630015031,"Block Group 1, Census Tract 15.03, Durham County, North Carolina",1621,194,695,154,465,97,9,13,294,108,0,12,77,57,81,50,21,19,60,47
1500000US370630016011,370630016011,"Block Group 1, Census Tract 16.01, Durham County, North Carolina",1482,343,923,234,368,200,0,12,152,154,0,12,0,12,39,49,0,12,39,49
1500000US370630016012,370630016012,"Block Group 2, Census Tract 16.01, Durham County, North Carolina",2808,472,1721,377,967,329,0,12,0,12,0,12,75,116,45,41,0,12,45,41
1500000US370630016013,370630016013,"Block Group 3, Census Tract 16.01, Durham County, North Carolina",1548,562,847,195,299,209,0,12,0,12,0,12,402,554,0,12,0,12,0,12
1500000US370630016031,370630016031,"Block Group 1, Census Tract 16.03, Durham County, North Carolina",652,214,482,218,170,122,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US370630016032,370630016032,"Block Group 2, Census Tract 16.03, Durham County, North Carolina",2893,407,1732,419,923,369,0,12,164,155,0,12,0,12,74,62,18,29,56,56
1500000US370630016033,370630016033,"Block Group 3, Census Tract 16.03, Durham County, North Carolina",1348,395,929,329,358,295,0,12,0,12,0,12,0,12,61,64,0,12,61,64
1500000US370630016034,370630016034,"Block Group 4, Census Tract 16.03, Durham County, North Carolina",1362,295,1238,275,124,117,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US370630016041,370630016041,"Block Group 1, Census Tract 16.04, Durham County, North Carolina",1947,322,1709,314,160,105,8,14,10,15,0,12,10,17,50,83,0,12,50,83
1500000US370630016042,370630016042,"Block Group 2, Census Tract 16.04, Durham County, North Carolina",2744,337,2543,330,140,117,0,12,20,30,0,12,14,22,27,36,0,12,27,36
1500000US370630016043,370630016043,"Block Group 3, Census Tract 16.04, Durham County, North Carolina",2086,400,1352,346,595,228,0,12,48,75,0,12,0,12,91,83,0,12,91,83
